algorithm,variant,distribution,dist_name,region_count,peer_count,round_index,command,params,comment,group,mean_ms,stdv_ms,median_ms
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),proposer,0.0,0.0,0.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),ap-northeast-1,73.48,41.53,73.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),ap-northeast-2,81.88,44.62,81.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),ap-south-1,77.68,37.15,72.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),ap-southeast-2,91.53,43.98,87.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),eu-central-1,66.26,44.58,71.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),eu-north-1,73.99,48.04,79.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),eu-west-1,62.66,42.43,63.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),sa-east-1,102.43,45.13,106.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),us-east-1,57.99,29.2,56.0
